customer_id,first_name,last_name,email,phone,city,registration_date
C001,Leanne,Graham,Sincere@april.biz,1-770-736-8031 x56442,Gwenborough,2026-07-13
C002,Ervin,Howell,Shanna@melissa.tv,010-692-6593 x09125,Wisokyburgh,2026-07-13
C003,Clementine,Bauch,Nathan@yesenia.net,1-463-123-4447,McKenziehaven,2026-07-13
C004,Patricia,Lebsack,Julianne.OConner@kory.org,493-170-9623 x156,South Elvis,2026-07-13
C005,Chelsey,Dietrich,Lucio_Hettinger@annie.ca,(254)954-1289,Roscoeview,2026-07-13
C006,Mrs.,Dennis Schulist,Karley_Dach@jasper.info,1-477-935-8478 x6430,South Christy,2026-07-13
C007,Kurtis,Weissnat,Telly.Hoeger@billy.biz,210.067.6132,Howemouth,2026-07-13
C008,Nicholas,Runolfsdottir V,Sherwood@rosamond.me,586.493.6943 x140,Aliyaview,2026-07-13
C009,Glenna,Reichert,Chaim_McDermott@dana.io,(775)976-6794 x41206,Bartholomebury,2026-07-13
C010,Clementina,DuBuque,Rey.Padberg@karina.biz,024-648-3804,Lebsackbury,2026-07-13
